PostNumber,PostLink,Title,Author,Total_Replies,Total_Weight,Symptom,Treatment,Bodypart
243,https://patient.info//forums/discuss/been-having-fever-since-sun-mon-i-feel-so-scared-if-is-covid-19-or-not--736002,how safe is airline travel?,/personal_pages/user/19040740,18,902.3809524,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pharyngitis', 'Influenza', 'Withdrawal Symptoms', 'Chest tightness', 'Sore Throat', 'Clouded consciousness', 'Chills', None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Stretching exercises', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Primary operation', 'saline gargle']",[None]
244,https://patient.info//forums/discuss/advice-please--735233,need advice,/personal_pages/user/20901276,1,52.27272727,"['Myelitis, Acute Transverse', 'Anemia, Diamond-Blackfan', 'Lung Diseases, Obstructive', 'Reflex Sympathetic Dystrophy', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Disease', 'swollen glands in neck', 'Chest Pain', 'Low Back Pain', 'Chest tightness', 'Nausea', 'Malaise', 'Headache', 'Breath symptom', 'Coughing', 'Back Pain', 'Dyspnea', None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Transjugular intrahepatic portosystemic shunt procedure', 'Bathing', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', None, None, None, None, None]",[None]
245,https://patient.info//forums/discuss/covid-19-rash-breakout-help-734322,it is not known if the covid vaccine prevents infection,/personal_pages/user/19040740,12,602.173913,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Dermatologic disorders', 'Exanthema', 'Lung Diseases, Obstructive', 'Asthma', 'Food Allergy', 'Simian Acquired Immunodeficiency Syndrome', 'Coronavirus Infections', 'Urticaria', 'Coughing', 'Welts', None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Urgent Procedure', None, None, None, None, None, None, None]",[None]
246,https://patient.info//forums/discuss/oximeter-735643,covid vaccine,/personal_pages/user/467195,6,302.0833333,"['Wiskott-Aldrich Syndrome', None]","[None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
247,https://patient.info//forums/discuss/gi-issues--735373,why is the nasal swab for coronavirus so deep?,/personal_pages/user/20903750,7,352,"['Multi-infarct dementia', 'Diarrhea', 'Vomiting', 'Nausea', 'Stomach cramps (finding)', None]","[None, None, None, None, None, None]",[None]
248,https://patient.info//forums/discuss/-covid-toes--735493,is rapid testing the answer?,/personal_pages/user/19040740,12,601.9230769,"['Allergic disposition', None, None, None, None]","[None, 'Therapeutic procedure', None, None, None]",[None]
249,https://patient.info//forums/discuss/coronavirus--734398,when did you turn positive after your exposure?,/personal_pages/user/4941962,1,51.85185185,"['Common Cold', 'Irritable Bowel Syndrome', 'Intestinal infectious disease (disorder)', 'Gonorrhea', 'Geroderma osteodysplastica', 'Obesity', 'furuncle', ""Little's Disease"", 'Acute infectious disease', 'Lung Diseases, Obstructive', 'Reflex Sympathetic Dystrophy', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Diarrhea', 'Chest Pain', 'Ache', 'Tired', 'BODY PAIN', 'Feeling Sick', 'Severe diarrhea', 'Overweight', 'Severe pain', 'Headache', 'Pain', 'Tremor', 'Stomach ache', 'Chest tightness', 'Influenza-like symptoms', 'Coughing', 'Cold sweat', 'Aural pressure', 'Decrease in appetite', 'Dyspnea', 'Chills', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Triage', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Toilet procedure', 'Excision of axillary lymph nodes', 'Isolation procedure', None, None, None, None, None, None, None, None, None, None, None, None]",[None]
250,https://patient.info//forums/discuss/covid-19--735153,corona transmission risk from surfaces?,/personal_pages/user/20902980,4,201.7857143,"['Myelitis, Acute Transverse', 'Anemia, Diamond-Blackfan', 'Reflex Sympathetic Dystrophy', 'Chest tightness', 'Headache', 'Coughing', 'Pain', 'Back Pain', 'Dyspnea', None, None]","[None, None, None, None, None, None, None, None, None, 'Excision of axillary lymph nodes', None]",[None]
251,https://patient.info//forums/discuss/tested-negative-but-had-all-symptoms-did-i-have-covid-19--734954,traveling by plane with baby covid 19,/personal_pages/user/20902334,8,401.7241379,"['Gonorrhea', 'Geroderma osteodysplastica', 'Influenza', 'Wiskott-Aldrich Syndrome', 'Chest Pain', 'Fatigue - symptom', 'Dyspnea', None, None]","[None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol']",[None]
252,https://patient.info//forums/discuss/could-it-coronavirus--734551,fever for 4 days covid??,/personal_pages/user/20903481,6,301.6666667,"['Gastroesophageal reflux disease', 'Lung Diseases, Obstructive', 'Heartburn', 'Dizziness', 'Coughing', 'Clouded consciousness', 'Breathing abnormally deep', 'Heartburn acidity', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Calming', 'Exercise Pain Management', None, None, None, None]",[None]
253,https://patient.info//forums/discuss/four-weeks-into-the-virus-734812,does a pneumonia vaccination make the illness less severe,/personal_pages/user/20857147,8,401.6129032,"['Gonorrhea', 'Geroderma osteodysplastica', 'Streptococcal lymphadenitis of swine', ""Little's Disease"", 'Hypotrichosis simplex', 'Simian Acquired Immunodeficiency Syndrome', 'Tired', 'Nausea', 'Wheezing', 'Dry cough', 'Headache', 'Coughing', 'Back Pain', 'Asthenia', 'Dyspnea', None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Stretching exercises', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
254,https://patient.info//forums/discuss/glands-up-734597,can you get covid twice?,/personal_pages/user/18524847,4,201.5625,"['Gonorrhea', 'Geroderma osteodysplastica', 'Hypertensive disease', 'Obesity', 'Diabetes', 'Mumps', 'Ache', 'Malaise', 'Fatigue', 'Dry cough', 'Coughing', 'Pain', 'Throat irritation', 'Chills', None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'Exercise Pain Management', None, None, None, None, None, None, None, None, None]",[None]
255,https://patient.info//forums/discuss/feeling-worse-after-3-weeks-of-symptoms-734132,nasal swab and cfs leak,/personal_pages/user/20898573,2,101.5151515,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Pharyngitis', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Fatigue', 'Sore Throat', 'Congestion of throat', 'Headache', 'Dry cough', 'Clouded consciousness', 'Dyspnea', 'Sore to touch', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Single Embryo Transfer', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'HAC protocol', None, None, None]",[None]
256,https://patient.info//forums/discuss/carona-virus-734491,"resources/info - prevention, high risk, symptoms, social distancing and flattening the curve",/personal_pages/user/707563,4,201.4705882,"['Acute gastroenteritis', 'Chest tightness', 'Coughing', 'Pain', 'Tremor', None, None]","[None, None, None, None, None, 'Calming', None]",[None]
257,https://patient.info//forums/discuss/contracting-covid-734393,has covid cause your depression to get worse?,/personal_pages/user/20899570,6,301.4285714,"['Myasthenia Gravis, Ocular', 'Disease']","[None, None]",['Disease']
258,https://patient.info//forums/discuss/covid-19-734097,covid home kit vs kaiser testing,/personal_pages/user/20904740,8,401.3888889,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', ""Little's Disease"", 'Bronchitis', 'Simian Acquired Immunodeficiency Syndrome', 'Tired', 'Coughing', None, None]","[None, None, None, None, None, None, None, None, 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
259,https://patient.info//forums/discuss/i-m-diabetic-and-been-told-i-m-only-moderate-risk-so-not-going-to-recieve-a-shielding-letter-733795,extra pounds increases your odds of a bad covid 19 outcome?,/personal_pages/user/973741,3,151.3513514,"['Hypertensive disease', 'Adult Fanconi syndrome', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Dermatofibrosis lenticularis disseminata', 'Gonorrhea', 'Geroderma osteodysplastica', 'Obesity', 'Sexually Transmitted Diseases', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Oculocerebrocutaneous syndrome', 'Diabetes Mellitus', 'Lung Diseases, Obstructive', 'Asthma', None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Special Diet Therapy', None, None]",[None]
260,https://patient.info//forums/discuss/covid19-734179,fever reported in most hospitalized covid patients,/personal_pages/user/19040740,14,701.3157895,"[""Little's Disease"", 'Simian Acquired Immunodeficiency Syndrome', 'Tired', 'Headache', 'Coughing']","[None, None, None, None, None]",['Coughing']
261,https://patient.info//forums/discuss/covid-19-734225,new coronavirus forum policy - effective immediately,/personal_pages/user/3147776,4,201.2820513,"['Influenza', 'Acute gastroenteritis', 'BODY PAIN', None, None, None, None, None]","[None, None, None, 'Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Diet good', 'Therapeutic procedure', None]",[None]
262,https://patient.info//forums/discuss/both-still-have-symptoms-should-we-sleep-separately--734020,car ride and covid?,/personal_pages/user/20896978,12,601.25,"['Gonorrhea', 'Geroderma osteodysplastica', 'Urticaria Pigmentosa', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Cardiovascular symptoms', 'Chest tightness', 'Flare', None, None]","[None, None, None, None, None, None, None, 'Venom immunotherapy', 'Electroconvulsive Therapy']",[None]
263,https://patient.info//forums/discuss/covid19-734152,covid and holiday gatherings,/personal_pages/user/3191940,8,401.2195122,"['Gonorrhea', 'Geroderma osteodysplastica', None, None]","[None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
264,https://patient.info//forums/discuss/symptoms-734109,covid-19,/personal_pages/user/1840244,15,751.1904762,"['Hamman-Rich syndrome', 'Hepatorenal Syndrome', None]","[None, None, None]",[None]
265,https://patient.info//forums/discuss/coronavirus--733766,conflicting information on corona on surfaces.,/personal_pages/user/973741,12,601.1627907,"['Gonorrhea', 'Geroderma osteodysplastica', 'Simian Acquired Immunodeficiency Syndrome', 'Chest Pain', 'Ache', 'Chest tightness', 'Coughing', 'Back Pain', 'Dyspnea', None, None]","[None, None, None, None, None, None, None, None, None, None, None]",[None]
266,https://patient.info//forums/discuss/covid19-733688,covid and blood type,/personal_pages/user/4941962,4,201.1363636,"['Gonorrhea', 'Geroderma osteodysplastica', 'Coughing']","[None, None, None]",['Coughing']
267,https://patient.info//forums/discuss/covid-19-and-blood-groups-733479,are you wearing a mask? thoughts on them?,/personal_pages/user/20867090,17,851.1111111,"['Obesity', 'Hypertensive disease', 'Dysosteosclerosis', 'Fish-Eye Disease', 'Diabetes Mellitus', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Acute gastroenteritis', 'AICARDI-GOUTIERES SYNDROME 1', 'Gray Platelet Syndrome', 'Excessive tearing', 'HEART PROBLEM', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Trans-hiatal esophagectomy', 'Therapeutic procedure', None, None, None]",[None]
268,https://patient.info//forums/discuss/i-m-currently-self-isolating-with-symptoms-of-covid-19-daughter-is-being-shielded-733498,redfield says masks might have a better effect than a vaccine.,/personal_pages/user/19040740,5,251.0869565,"['Gonorrhea', 'Geroderma osteodysplastica', 'Infantile Neuroaxonal Dystrophy', 'Palmar-plantar erythrodysesthesia syndrome', 'Myopia', 'Coughing', 'Chest discomfort', 'Nervousness', None, None, None]","[None, None, None, None, None, None, None, None, 'cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'bleomycin/methotrexate/vincristine protocol', None]",[None]
269,https://patient.info//forums/discuss/previous-pneumonia-and-covid-19-733365,is my medical history putting me in more danger?i,/personal_pages/user/20899969,6,301.0638298,"['Bilateral pneumonia', 'Pneumonia', 'Meningitis', 'Meningitis, Bacterial', 'Chronic Obstructive Airway Disease', 'Cystic Fibrosis', 'Coronavirus Infections', 'Gray Platelet Syndrome', None]","[None, None, None, None, None, None, None, None, None]",[None]
270,https://patient.info//forums/discuss/corona-virus-733203,long haulers post covide infection,/personal_pages/user/973741,1,51.04166667,"['Respiratory Tract Infections', 'Coronavirus Infections']","[None, None]",['Coronavirus Infections']
